,0,1
Batan,independent political entity,699847.0
Joyabaj,second-order administrative division,52498.0
Yaring district,mountain,0.0
Kupwara District,,
Yarang (District),,
Nir Oz,populated place,0.0
Nari Baba,,
Kurunegala District,second-order administrative division,1455531.0
Pitogo,populated place,5972.0
Ocros,second-order administrative division,0.0
Chitwan district,,
Wembezi,,
Al-Hussainiyah,populated place,0.0
Gonder,populated place,153914.0
Cerro Cacahuatique,mountain,0.0
Santa-Reparata-di-Balagna,populated place,889.0
Clogher,populated place,0.0
Dumaria,populated place,0.0
Muridke,populated place,164246.0
Posadas,seat of a first-order administrative division,323739.0
Shalobar,populated place,0.0
Claudy,populated place,0.0
Hajan,populated place,10800.0
Tima,hill,0.0
Nouakchott,capital of a political entity,661400.0
Damatura,,
Puerto Lleras,second-order administrative division,10666.0
San Alberto,second-order administrative division,32395.0
Midi,historical first-order administrative division,2810247.0
Farah Rud,locality,0.0
Sirawai,third-order administrative division,28799.0
El Tigre,seat of a second-order administrative division,150999.0
Charmang,populated place,0.0
Kurtalan,second-order administrative division,57419.0
El Bur,port,0.0
Camlough,populated place,0.0
Tallaght,seat of a second-order administrative division,64282.0
Solenzara,populated place,1150.0
Ventiseri,populated place,2652.0
Médéa,seat of a first-order administrative division,147707.0
Quilali district,,
Omdurman,populated place,1200000.0
Punta Arenas,seat of a first-order administrative division,117430.0
Maasin,populated place,5847.0
Matagalpa district,,
Mesetas,second-order administrative division,10695.0
Qila Abdullah district,second-order administrative division,0.0
Dammam,seat of a first-order administrative division,768602.0
El Arish,seat of a first-order administrative division,128855.0
Baghmara,populated place,0.0
Qala-i-Naw,seat of a first-order administrative division,9000.0
Bargi Matal,second-order administrative division,0.0
Akron,seat of a second-order administrative division,197542.0
Bacheli,mountain,0.0
Rohtas district,,
Coronel,seat of a first-order administrative division,51286.0
Balkh,seat of a second-order administrative division,114883.0
Hamra,first-order administrative division,367758.0
Bajawan,populated place,0.0
Dudhnoi,railroad station,0.0
Waspam,airport,0.0
Redding,seat of a second-order administrative division,91582.0
Dhahran al-Janub,populated place,0.0
Tak Bai,second-order administrative division,57776.0
Belcoo,populated place,0.0
Lubeck,seat of a third-order administrative division,212207.0
San Cristobal de Las Casas,seat of a second-order administrative division,128996.0
Sardinata,second-order administrative division,22733.0
Baquba,seat of a first-order administrative division,152550.0
Murghab district,,
Pezu,populated place,0.0
Fort Victoria,seat of a first-order administrative division,76290.0
Jhapa district,populated place,0.0
Itamar,section of populated place,0.0
Dzhalka,populated place,6306.0
Guatajiagua,populated place,5273.0
Guayabetal,second-order administrative division,4780.0
Ahnif,,
Achabal,populated place,0.0
Nazimiye,second-order administrative division,3456.0
Faqirabad,populated place,0.0
Duki,populated place,818329.0
Buluan,lake,0.0
Kalaiya,populated place,0.0
Datu Paglas,seat of a third-order administrative division,3851.0
Arhab district,,
Khannesin district,,
Gazipur,populated place,337579.0
Lubango,seat of a first-order administrative division,102541.0
Pallamadu,populated place,0.0
Zacapa,first-order administrative division,0.0
Rupandehi district,,
Dargai,area,0.0
Mali Khel,populated place,0.0
Erzincan,seat of a first-order administrative division,114027.0
Medina,seat of a first-order administrative division,1300000.0
Ventersdorp,third-order administrative division,36528.0
Spokane,seat of a second-order administrative division,213272.0
Vitina,seat of a second-order administrative division,46959.0
Shariff Aguak district,,
Qusayr,region,0.0
Minneapolis,seat of a second-order administrative division,410939.0
Wageasi,,
Adezai,populated place,0.0
Gulak,area,0.0
Litan,populated place,0.0
Vilnius,capital of a political entity,542366.0
Nuevo Progresso,seat of a second-order administrative division,8113.0
Adiyaman,seat of a first-order administrative division,223744.0
Kasserine,seat of a first-order administrative division,81987.0
Olenivka,populated place,0.0
Modena,seat of a second-order administrative division,158886.0
Kankesanturai,airport,0.0
Mukhaysah,populated place,0.0
Mazrah,locality,0.0
Nasir Bagh,populated place,0.0
Kamad Al-Luz,,
Ann Arbor,seat of a second-order administrative division,117070.0
Imbali,populated place,0.0
Hazaribagh district,populated place,140063.0
Haripur,second-order administrative division,0.0
Mirmandab,area,0.0
Qala Kah district,,
Pachacamac,populated place,0.0
Bana,seat of a first-order administrative division,221106.0
Maceo,second-order administrative division,7630.0
Chahar Bolak,second-order administrative division,0.0
Bodh Gaya,populated place,35188.0
Dariyah,populated place,0.0
Kawkareik,populated places,246065.0
Santiago Atitlan,populated place,33309.0
Murrat al-Numan,,
Huamaguilla district,,
Junin,seat of a first-order administrative division,376657.0
Makiivka,populated place,376610.0
Samana,first-order administrative division,91875.0
Trona,cape,0.0
Jurf Naddaf,,
Dand Patan district,,
Agua Blanca,second-order administrative division,0.0
Gurdaspur district,second-order administrative division,2298323.0
Panabo,populated place,84749.0
Les Issers,populated place,0.0
Aliabad,populated place,9103.0
Tall Abyad,second-order administrative division,0.0
Napnapan,fourth-order administrative division,0.0
Everett,seat of a second-order administrative division,108010.0
Warangal,seat of a second-order administrative division,557802.0
Dantewara,area,0.0
Albina,seat of a first-order administrative division,3985.0
Yandare,,
Aba,seat of a second-order administrative division,897560.0
Eker,fort,0.0
Daura,seat of a second-order administrative division,25289.0
Halamish,mountain,0.0
Brega,airport,0.0
Vlore,seat of a first-order administrative division,89546.0
Campamento,second-order administrative division,14774.0
Tarim,oasis(-es),0.0
Beni Ksila,,
Aguaytia,populated place,0.0
Aryob Zazi,,
Maloorlivka,populated place,0.0
Mudiyah district,,
Ottamawadi,,
Pase Yawo,,
Dawlat Shah district,,
Ab Kamari district,,
Omna district,,
Magpet,populated place,5414.0
Dangam,second-order administrative division,0.0
Bandhugaon,populated place,0.0
Bab al-Sham,section of populated place,7.0
Nahrin,seat of a second-order administrative division,22363.0
Lukqun,populated place,0.0
El Rosario,second-order administrative division,20613.0
Azotey,second-order administrative division,0.0
Jhenaidah,second-order administrative division,1771304.0
Azazga,populated place,40623.0
Norfolk,dependent political entity,1828.0
Hawad,third-order administrative division,0.0
Pampa Cangallo,populated place,0.0
Yarumal,second-order administrative division,41240.0
Konduga district,,
Ammal,populated place,0.0
Pitumudi,populated place,0.0
Hailabandi district,,
Moga,populated place,130549.0
Nueva Trinidad,populated place,0.0
Salboni,populated place,0.0
Buin,populated place,55441.0
San Pedro de Uraba,airport,0.0
Kushtia,populated place,135724.0
Simiti,second-order administrative division,18418.0
Kapho district,,
El Naranjo,airport,0.0
Bankura,populated place,133966.0
ludhiana,populated place,1545368.0
Long Beach,populated place,474140.0
Ghaziyeh,populated place,0.0
Sunsari district,populated place,0.0
Omerbegovaca,populated place,0.0
Uson,seat of a third-order administrative division,4395.0
Floridablanca,populated place,252267.0
Ban Rae,populated place,0.0
Gingoog,populated place,0.0
Dihrawud,,
Khamyab district,,
Mubarak al-Farhan,,
Dhanakuta,populated place,0.0
Itahari,second-order administrative division,0.0
Yamabal,populated place,0.0
Benin,independent political entity,9056010.0
Rangae ((District)),,
Bria,seat of a first-order administrative division,29027.0
Orlando,seat of a second-order administrative division,270934.0
Ortega,populated place,6871.0
Newtownards,airport,0.0
Alishang,populated place,0.0
Ciboure,populated place,6814.0
Nagaon,second-order administrative division,2823768.0
Wangoi,,
Naurang,populated place,19694.0
Dos Quebradas,populated place,179583.0
La Democracia,second-order administrative division,0.0
Tasp,populated place,0.0
Khudwani,,
Akashat,mining area,0.0
El Carrizal,populated place,0.0
Khwaja Umari district,,
Sar Banader,populated place,0.0
Tala Wa Barfak district,,
Pulmoddai,populated place,0.0
Mascara,seat of a first-order administrative division,150000.0
El Espino,second-order administrative division,3997.0
Shuwa,second-order administrative division,0.0
Ngozi,seat of a first-order administrative division,21506.0
Tak Bai (District),,
Al-Hajj,drainage basin,0.0
Jalandhar district,populated place,785178.0
Kandh Kot,locality,0.0
Malam Jabba,populated place,0.0
Chiba,seat of a first-order administrative division,919729.0
Govindpalli,populated place,0.0
Kopay,area,0.0
Bochum,seat of a third-order administrative division,385729.0
Nurar,populated place,0.0
Solano,populated place,121253.0
Ile de Cavallo,island,0.0
Novoazovsk,populated place,12200.0
El Junquillal,populated place,0.0
Labangan,populated place,10780.0
Palacaguina,second-order administrative division,0.0
Ghat,first-order administrative division,23518.0
Bordeaux,seat of a first-order administrative division,231844.0
Salcedo,seat of a first-order administrative division,45299.0
El Congo,populated place,8905.0
Malabon,seat of a third-order administrative division,0.0
Charsada district,,
Bargi Matal district,,
Salou,populated place,26649.0
Albania,independent political entity,2986952.0
Marynivka,populated place,0.0
Myitkyina,seat of a first-order administrative division,90894.0
Shawa,populated place,0.0
Umtali,seat of a first-order administrative division,184205.0
Tani district,peak,0.0
Howrah,populated place,1027672.0
Maragusan,third-order administrative division,60842.0
Deniyaya,populated place,0.0
Rama,capital of a political entity,223757.0
Sibi District,second-order administrative division,0.0
Samaniego,second-order administrative division,50437.0
Hyderpora,,
Rabinal,second-order administrative division,0.0
Torez,populated place,68037.0
Ghakhi,canyon,0.0
Aramta,populated place,0.0
Shib Koh district,,
Mansuriyah,populated place,0.0
Chamalang,populated place,0.0
Zahra,second-order administrative division,0.0
Hambantota District,second-order administrative division,529440.0
Kass,populated place,1109.0
Dang district,third-order administrative division,506451.0
Ain Zaouia,populated place,0.0
Ras al-Ain,populated place,16289.0
Elorrio,seat of a third-order administrative division,7041.0
Laoag,seat of a second-order administrative division,102105.0
Mahur,populated place,0.0
Gordzad,,
Sirkanay district,,
Polampalli,populated place,0.0
Ballynafeigh,populated place,0.0
Sousse,seat of a first-order administrative division,164123.0
Ayn al-Jahesh,,
Mazidagi,second-order administrative division,33083.0
San Buenaventura,second-order administrative division,1946.0
Accra,capital of a political entity,1963264.0
Talloussa,populated place,0.0
Kamjong,second-order administrative division,0.0
Yar Hussain,populated place,0.0
Donnybrook,second-order administrative division,5753.0
Bodo,seat of a first-order administrative division,34073.0
Maracaibo,seat of a first-order administrative division,2225000.0
"Ballymurphy, Belfast",,
Ziruk district,second-order administrative division,0.0
Sararogha,,
Awdat al-Shukr,,
Mullaitivu district,second-order administrative division,0.0
El Aouana,port,0.0
Laantabuur,hill,0.0
Huwaysh,area,0.0
Mlang,populated place,0.0
cali,seat of a first-order administrative division,2392877.0
Convencion district,hotel,0.0
Pabbo,fourth-order administrative division,0.0
Chaparral district,populated place,0.0
Alisher,populated place,0.0
Arakan,first-order administrative division,3118963.0
Sapporo,seat of a first-order administrative division,1883027.0
Pensacola,seat of a second-order administrative division,53193.0
Mawand,ridge(s),0.0
Barawe district,populated place,0.0
Kilkeel,populated place,6447.0
Baaj district,second-order administrative division,0.0
El Mango,locality,0.0
Baghaichhari,populated place,0.0
Ashigashiya,populated place,0.0
Bharatpur,populated place,107157.0
Raman ((District)),mountain,0.0
Zhob district,second-order administrative division,500000.0
Dibrugarh,seat of a second-order administrative division,122155.0
Singapore,capital of a political entity,3547809.0
Mitchells Plain,populated place,0.0
San Lorenzo Dam,populated place,0.0
Darazo,second-order administrative division,0.0
Ja-Ela,populated place,32175.0
Akkar district,tomb(s),0.0
Garoua-Mboulai,,
Shinwari district,,
Tarnak Wa Jaldak district,,
Babaji,populated place,0.0
Latih,populated place,0.0
Nahrin district,,
Bin Jawad,tribal area,0.0
Ponta Delgada,seat of a first-order administrative division,20056.0
La Paz district,populated place,0.0
Bala Morghab,populated place,0.0
Ajristan district,,
Karainagar,populated place,0.0
Dicle,second-order administrative division,40593.0
Okene,seat of a second-order administrative division,479178.0
Podujeva,seat of a second-order administrative division,35000.0
Kamburupitiya,populated place,0.0
King William's Town,populated place,0.0
Bignona,second-order administrative division,0.0
Surkh Rod,second-order administrative division,0.0
Asmar district,populated place,0.0
Visakhapatnam,seat of a second-order administrative division,1063178.0
Zaragoza district,street,0.0
Dundonald,populated place,13985.0
Aranpur,populated place,0.0
Yangon (Rangoon),seat of a first-order administrative division,4477638.0
Abu Dhabi,capital of a political entity,603492.0
Charkh,second-order administrative division,0.0
Beni Amrane,populated place,18414.0
Marivan,seat of a second-order administrative division,91664.0
Arlit,second-order administrative division,0.0
Mulukuku,second-order administrative division,0.0
Wazirabad,populated place,102444.0
Sholgara,second-order administrative division,0.0
Godogodo,third-order administrative division,0.0
Achin,second-order administrative division,0.0
Qantara,populated place,0.0
Sumisip district,,
Soutpansberg,mountain,0.0
Arica,seat of a first-order administrative division,185999.0
Wama district,populated place,0.0
Brass,second-order administrative division,0.0
Athlone,populated place,0.0
Chahar Burja district,,
Arrigorriaga,seat of a third-order administrative division,12435.0
Jorhat,populated place,69033.0
Dhanukha,populated place,0.0
Rafiah Yam,populated place,0.0
Erzurum,seat of a first-order administrative division,420691.0
Villabona,seat of a third-order administrative division,5822.0
Bagram Air Field,,
Tergaran,populated place,0.0
Beir al-Abd,,
At Tumah,populated place,0.0
Mayaguez,seat of a first-order administrative division,78647.0
Cerrnice,,
Lashio,populated place,131016.0
Baskale,second-order administrative division,58963.0
Huayllay,mountain,0.0
Vescovato,seat of a third-order administrative division,3750.0
Sittandy,fourth-order administrative division,0.0
Bongabong,third-order administrative division,72073.0
Thohoyandou,seat of a second-order administrative division,44046.0
Zahle district,seat of a third-order administrative division,0.0
Darmstadt,seat of a second-order administrative division,140385.0
Annaba,seat of a first-order administrative division,206570.0
Osmaniye,seat of a first-order administrative division,202837.0
Mishahda,,
Des Moines,seat of a first-order administrative division,210330.0
Chiriguana,second-order administrative division,22146.0
Bijeljina,seat of a second-order administrative division,37692.0
Lezo,seat of a third-order administrative division,5867.0
Ramban,second-order administrative division,0.0
Port Moresby,capital of a political entity,283733.0
Mangoli,populated place,0.0
Zumaia,seat of a third-order administrative division,8751.0
Duisburg,seat of a third-order administrative division,504358.0
Gush Etzion,,
Mayfaa,second-order administrative division,41597.0
Cimitarra district,,
Boudouaou,populated place,45153.0
Zarghun Shahr district,,
Antigua,seat of a first-order administrative division,39368.0
Tebessa,seat of a first-order administrative division,634332.0
Yokosuka,seat of a second-order administrative division,428992.0
Bartella,,
Bor,seat of a second-order administrative division,39387.0
Bat Yam,populated place,128979.0
Pagalungan,populated place,31052.0
Ghani Khel district,,
Cho Ai Rong ((District)),,
Nueva Esparta,first-order administrative division,491610.0
Urizar de Lemoniz,populated place,0.0
Sacsamarca,third-order administrative division,0.0
Basos,,
Umkomaas,pass,0.0
Osijek,seat of a first-order administrative division,88140.0
Mandani,populated place,0.0
Hoboken,populated place,53635.0
Chimaltenango,seat of a first-order administrative division,82370.0
Tarsus,seat of a second-order administrative division,256482.0
Patia,second-order administrative division,33195.0
Puli Khumri district,,
Rivas,first-order administrative division,166900.0
Barue district,second-order administrative division,0.0
Kanyosha,second-order administrative division,0.0
Naqoura,populated place,24910.0
Zawiyah,seat of a first-order administrative division,200000.0
Skikda,seat of a first-order administrative division,162702.0
Surkh Rod district,,
Tawakol,,
San Juan del Rio Coco,second-order administrative division,0.0
Trieste,seat of a first-order administrative division,187056.0
Mangochar,,
Gor Tepa,,
Zurmat,second-order administrative division,0.0
Mabar,populated place,0.0
Shubra el-Kheima,populated place,0.0
Balboa,second-order administrative division,2721.0
Chtaura,populated place,0.0
Awdiinle,populated place,0.0
Union City,capital of a political entity,1165581.0
Dobsonville,section of populated place,0.0
Banadia,populated place,0.0
Bayhan district,wadi,0.0
Botleng,,
Bucharest,capital of a political entity,1877155.0
Trinidad,seat of a first-order administrative division,84259.0
Barnala,populated place,105016.0
Newark,seat of a second-order administrative division,281944.0
Tonacatepeque,second-order administrative division,0.0
Sergokala,populated place,8165.0
Bohdanivka,populated place,0.0
Wau,seat of a first-order administrative division,127384.0
Isa Town,populated place,38090.0
Umbumbulu,populated place,0.0
Dara-i-Sufi Payin district,,
Shirin Tagab,second-order administrative division,0.0
Bubanza,first-order administrative division,354427.0
Caldiran district,,
Maungdaw district,second-order administrative division,0.0
san luis,seat of a first-order administrative division,677704.0
Aleosan,third-order administrative division,39405.0
Tha Kamcham,,
Mainz,seat of a first-order administrative division,184997.0
Vinchos,ridge(s),0.0
Gazi-Yurt,populated place,0.0
Chepo district,second-order administrative division,46139.0
Waza,park,0.0
Qubah,populated place,0.0
Bagerhat,seat of a second-order administrative division,266388.0
Mansouriyah,populated place,0.0
Shahjoy,mountain,0.0
Kaohsiung,seat of a first-order administrative division,1519711.0
El Retorno,second-order administrative division,19063.0
Managua district,,
Arboletes,second-order administrative division,30738.0
San Juan de Arama,second-order administrative division,9218.0
Khanpur,populated place,142426.0
Gisenyi,seat of a second-order administrative division,83623.0
Butembo,seat of a third-order administrative division,154621.0
Siegen,seat of a third-order administrative division,107242.0
Bulo Gaduud,,
Teorama district,,
Iquique,seat of a first-order administrative division,227499.0
Hashimiyah,second-order administrative division,0.0
Doha,capital of a political entity,344939.0
Qaim district,seat of a second-order administrative division,0.0
Villahermosa,seat of a first-order administrative division,362401.0
Pesalai,populated place,0.0
Akka Khel,populated place,0.0
Lupon,seat of a third-order administrative division,27247.0
Leoncio Prado district,,
Gwangju,seat of a first-order administrative division,1416938.0
Dih Bala district,populated place,0.0
Moira,second-order administrative division,28675.0
Bajoga,seat of a second-order administrative division,0.0
Kwale,first-order administrative division,649931.0
Sasolburg,seat of a second-order administrative division,77016.0
Rihane,area,0.0
Guangzhou,seat of a first-order administrative division,11071424.0
East Lansing,populated place,48471.0
Starye Atagi,populated place,10183.0
Paraiso,populated place,39702.0
Las Canas,populated place,20306.0
Wajid district,second-order administrative division,0.0
Bujanovac,seat of a third-order administrative division,0.0
Buayan,populated place,679588.0
Langar,area,0.0
Az Zahir district,populated place,0.0
Cotabato,populated place,1121974.0
Cusco district,,
Isplinji,populated place,0.0
Itami,seat of a second-order administrative division,193524.0
Garhwa district,populated place,0.0
Ajnala,populated place,19691.0
Badrashin,,
Shura,pass,0.0
Tezpur,populated place,58851.0
Bunga,oilfield,0.0
Michni,fort,0.0
Affobakka,populated place,0.0
Nueva Guinea district,seat of a first-order administrative division,26273.0
Ludhiana District,populated place,1545368.0
Larba,populated place,0.0
Dabanga,populated place,0.0
Kailali district,,
Cannes,populated place,70011.0
Issers,populated place,0.0
Teotecacinte,pass,0.0
Penas Blancas,mountains,0.0
Sarin,area,0.0
Tall Zalat,populated place,0.0
Ado-Ekiti,seat of a first-order administrative division,424340.0
Bishkan,populated place,0.0
Thandikulam,,
Khar Kalay,populated place,0.0
Sacapulas,second-order administrative division,0.0
Condega district,,
Cinar,second-order administrative division,68530.0
Atteridgeville,populated place,0.0
Varese,seat of a second-order administrative division,76851.0
Salgar,second-order administrative division,18206.0
Waziiyah district,,
Coeur D'Alene,populated place,49122.0
Dur Baba district,,
Basak,populated place,0.0
Taluban,seat of a second-order administrative division,14356.0
Isnos,second-order administrative division,23702.0
Keddara,populated place,0.0
Rostrevor,populated place,2515.0
Zacamil,populated place,0.0
Arua,seat of a second-order administrative division,55585.0
Tumahubong,fourth-order administrative division,0.0
Seraikela Kharsawan district,,
Edfu,populated place,133000.0
Shagai,populated place,0.0
Neveh Dekalim,abandoned populated place,0.0
Manglawar,,
Jablah,second-order administrative division,0.0
Melipilla,seat of a second-order administrative division,63100.0
Asadabad district,populated place,0.0
Malgir,populated place,0.0
Garmsir,populated place,0.0
Ceylanpinar,second-order administrative division,78814.0
Dakar,capital of a political entity,2476400.0
Astrakhan,seat of a first-order administrative division,502533.0
Barkhan district,second-order administrative division,185000.0
Magdalena Medio,populated place,0.0
Peshawar district,second-order administrative division,0.0
San Antonio Abad,seat of a third-order administrative division,21852.0
Gottingen,seat of a third-order administrative division,122149.0
War Maxan,area,0.0
Jamundi,second-order administrative division,96993.0
Moulmein,seat of a first-order administrative division,438861.0
Tonenke,populated place,0.0
Naga,populated place,174931.0
Peshwar,,
Pulo Puyo,,
Matucana,seat of a third-order administrative division,4517.0
Mayurbhanj,second-order administrative division,2519738.0
Bongaigaon district,,
Dhanbad,populated place,219636.0
Matamoros,populated place,449815.0
Huando,third-order administrative division,0.0
Thanamandi,,
Mardyan district,,
Maiha,second-order administrative division,0.0
Kakapora,,
Dickwella,seaplane landing area,0.0
Rutshuru district,,
Ta Kae,populated place,0.0
Tacurong City,seat of a third-order administrative division,54648.0
Marwar,populated place,14760.0
Ortuella,populated place,8556.0
Karabudakhkentsky  (District),,
Gasuapara,populated place,0.0
Aswan,seat of a first-order administrative division,241261.0
Comalpa,,
Samsun,seat of a first-order administrative division,394050.0
Mitu,seat of a first-order administrative division,5917.0
Bhairahawa,airport,0.0
Duduza,populated place,0.0
Patong,populated place,14797.0
Maiduguri district,,
Abakaliki,seat of a first-order administrative division,134102.0
Vorenezh,,
Viransehir,seat of a second-order administrative division,154163.0
Dezful,second-order administrative division,0.0
Falls Church,seat of a second-order administrative division,13892.0
Glasgow,seat of a second-order administrative division,591620.0
Gulariya,second-order administrative division,0.0
Alberton,park,0.0
Tacloban,seat of a second-order administrative division,242089.0
Coyuca de Benitez,second-order administrative division,0.0
Bualan,populated place,0.0
Derik,second-order administrative division,61226.0
Ungkaya Pukan,third-order administrative division,18441.0
Charleroi,populated place,200132.0
Kars,seat of a first-order administrative division,77486.0
Riohacha,seat of a first-order administrative division,92431.0
Horqueta,populated place,10531.0
Jusici,populated place,0.0
Matiguas,second-order administrative division,0.0
Ghundi,populated place,0.0
Abu Tig,populated place,71257.0
Af Urur,,
Shorkot,forest reserve,0.0
Sibagat,populated place,4865.0
Yaha (District),stream,0.0
Al-Tawila,islands,0.0
Nashville,seat of a first-order administrative division,530852.0
Wazakhwa district,,
Adraskan,second-order administrative division,0.0
Karuma,wildlife reserve,0.0
Shaheedano Dhand,,
El Geneina,seat of a first-order administrative division,162981.0
Chitaga,second-order administrative division,10179.0
Sheikhupura,seat of a second-order administrative division,361303.0
Wah,populated place,0.0
Daganbhuiyan,third-order administrative division,0.0
El Carmen district,populated place,7092.0
Shaygal Wa Shiltan district,,
Kamra,populated place,43779.0
Tarhouna,locality,0.0
Quedlinburg,populated place,22814.0
Ayn al-Hisyan,populated place,0.0
Poggio-Mezzanna,,
Ijara,second-order administrative division,0.0
Soacha,seat of a second-order administrative division,313945.0
San Pascual,seat of a third-order administrative division,39395.0
Ramat Gan,populated place,128095.0
Banduan,populated place,0.0
El Nispero,second-order administrative division,6422.0
Panchthar district,,
Puente Piedra,locality,0.0
Campo Alegre,populated place,16785.0
Thanchi,third-order administrative division,0.0
Muelle de los Bueyes,second-order administrative division,0.0
Buur Dhuxunle,populated place,0.0
Korydallos,seat of a third-order administrative division,63445.0
Riyom district,,
Troitskaya,populated place,6479.0
El Tambo,second-order administrative division,45804.0
Bunia,seat of a first-order administrative division,96764.0
Salem,seat of a first-order administrative division,164549.0
El Diamante,locality,0.0
Kala Zal,populated place,0.0
Renk,airport,0.0
Ceel Baraf,populated place,0.0
Raipur,seat of a first-order administrative division,679995.0
Amalfi,second-order administrative division,20525.0
Middlesbrough,seat of a second-order administrative division,142707.0
Gorongosa district,second-order administrative division,0.0
Shambawat,,
Khobar,populated place,165799.0
Pinetown,populated place,0.0
Ismail Khel,tribal area,0.0
Azores,first-order administrative division,242902.0
Cano Limon,port,0.0
Bulobarde district,,
Huayhuash,mountains,0.0
Sinai,first-order administrative division,164574.0
Warri North district,,
Al-Qubbah,populated place,24631.0
Ben Gardane,populated place,13364.0
Saint-Marc,populated place,66226.0
San Salvador de Jujuy,seat of a first-order administrative division,305891.0
Salar,salt area,0.0
Kanju,populated place,0.0
Taywara,airfield,0.0
Ziarat,second-order administrative division,100000.0
Nertiti district,,
Qadisiyah,first-order administrative division,908192.0
Oktyabrskoye,populated place,0.0
Pir Koti,locality,0.0
Bermeo,seat of a third-order administrative division,16937.0
Jandol,stream,0.0
Madain district,populated place,0.0
Ekazhevo,populated place,25549.0
Anar Dara district,,
Ordu,seat of a first-order administrative division,116788.0
Pittsburgh,seat of a second-order administrative division,304391.0
Band Taimor,,
Tabriz,seat of a first-order administrative division,1424641.0
Galashki,populated place,0.0
Lebak,second-order administrative division,1204095.0
Santa tecla,seat of a first-order administrative division,124694.0
Prizren,seat of a first-order administrative division,171464.0
Abeibara,second-order administrative division,10286.0
Hawr Salah ad Din,marsh(es),0.0
Nyongoro,stream,0.0
Malaybalay,seat of a second-order administrative division,61524.0
Benguela,seat of a first-order administrative division,151226.0
Nahr al-Imam,canal,0.0
Dhi Naim district,populated place,0.0
Basse-Terre,capital of a political entity,11472.0
Llusita,populated place,0.0
Sadr al-Yusufiyah,populated place,0.0
Mizrana,populated place,0.0
Tarra,second-order administrative division,10772.0
Javea,populated place,31593.0
Manogai,populated place,0.0
Progreso,populated place,100810.0
Kottom district,,
Jacksonville,seat of a second-order administrative division,868031.0
Bagacay,populated place,3158.0
tehran,capital of a political entity,7153309.0
Almaguer,second-order administrative division,20463.0
Iskenderun,seat of a second-order administrative division,159965.0
Surobi,second-order administrative division,0.0
Lohardaga,second-order administrative division,461790.0
Sarafand,section of populated place,0.0
Zarit,spur(s),0.0
Dayum,,
Bab al-Hawa,locality,0.0
Genc,second-order administrative division,35958.0
Sido,seat of a first-order administrative division,163554.0
Kinniya,populated place,0.0
Castellon de la Plana,seat of a second-order administrative division,180005.0
Vodyane,populated place,0.0
Versailles,seat of a second-order administrative division,85416.0
Dagestanskiye Ogni,populated place,27835.0
Bulabulin,third-order administrative division,0.0
Andes,mountains,0.0
Kyaikto,populated place,48658.0
Hikkaduwa,populated place,1300.0
Donetskyi,,
Limavady,historical second-order administrative division,33900.0
Lipa,populated place,38841.0
Ghallanai,,
Hizan district,locality,0.0
Mimika district,,
Chupaca,second-order administrative division,51340.0
Janzour,,
Las Flores,second-order administrative division,7335.0
Kwathema,populated place,0.0
Sagada,populated place,0.0
Sadiyah district,populated place,0.0
Mandan,populated place,0.0
Yopal,seat of a first-order administrative division,61029.0
Ovacik district,,
Khanukah,,
Yangi Qala district,,
Kalu Khan,populated place,0.0
Gamba,reservation,0.0
El Ancer,populated place,0.0
Lere,populated place,93290.0
Chaclacayo,third-order administrative division,0.0
Arzo,populated place,0.0
Sonada,populated place,0.0
Al-Badari,populated place,44132.0
Cargese,populated place,1032.0
Cantabria district,,
Malindi,populated place,118265.0
Calabar,seat of a first-order administrative division,461796.0
Lohardaga district,hill,0.0
Kisumu,seat of a first-order administrative division,216479.0
Corcona district,,
Izvaryne,populated place,0.0
Muharraq,populated place,97458.0
Onitsha,seat of a second-order administrative division,561066.0
Limani,second-order administrative division,0.0
San Rafael Oriente,populated place,19095.0
Atmeh,populated place,1746.0
Eket,second-order administrative division,0.0
Donaghmore,populated place,0.0
Don Rak,populated place,0.0
Zerkoh,,
Bismil district,railroad station,0.0
Ghalibiyah,locality,0.0
Bakka Khel,tribal area,0.0
Dahana-i-Ghuri,second-order administrative division,0.0
Mahdiyah,first-order administrative division,410812.0
Aguada,first-order administrative division,41959.0
Mirza Wulang,mountains,0.0
Al-Ayn,populated place,408733.0
Hajjah,seat of a first-order administrative division,43549.0
Laylan,populated place,0.0
Cienaga,lake,0.0
Bismaya,ruin(s),0.0
Paphos,seat of a first-order administrative division,35961.0
Colorado Springs,seat of a second-order administrative division,456568.0
Burlington,seat of a second-order administrative division,42452.0
Chandel,second-order administrative division,0.0
Netiv Haasara,populated place,0.0
Pagatin,populated place,3079.0
Lakhimpur,populated place,59841.0
Comodoro Rivadavia,seat of a second-order administrative division,140850.0
Jaleshwor,populated locality,0.0
Memender,,
Rajpora,,
El Paisnal,populated place,1641.0
Baramulla District,second-order administrative division,1008039.0
Aammiq,populated place,0.0
Elizabeth,first-order administrative division,145409.0
Gubden,populated place,7997.0
Ramgarh,populated place,83833.0
Ber,area,0.0
Guzara,forest reserve,0.0
Montelibano,populated place,85000.0
Baliki,field(s),0.0
Movene,locality,0.0
Madhuban,second-order administrative division,0.0
Quimper,seat of a second-order administrative division,63849.0
Acobamba,second-order administrative division,0.0
Sangan,populated place,0.0
Panajachel,second-order administrative division,11142.0
Tapaz,fourth-order administrative division,0.0
Las Condes,section of populated place,0.0
Sicuani,seat of a third-order administrative division,33575.0
